#timeI (float64)[1],integ_ch0 (float64)[1],integ_ch1 (float64)[1],integ_ch2 (float64)[1],integ_ch3 (float64)[1],integ_ch4 (float64)[1],integ_ch5 (float64)[1],integ_ch6 (float64)[1],integ_ch7 (float64)[1],integ_ch8 (float64)[1],integ_ch9 (float64)[1],integ_ch10 (float64)[1],integ_ch11 (float64)[1]
-0.0010000000000000,-0.0000000000177371,-0.0000000000228472,-0.0000000000041317,-0.0000000000010950,-0.0000000000503142,-0.0000000000388917,-0.0000000000269749,-0.0000000000367453,-0.0000000000358867,-0.0000000000208185,-0.0000000000676861,-0.0000000000427498
-0.0008999909974793,-0.0000000000177371,-0.0000000000228472,-0.0000000000041317,-0.0000000000010950,-0.0000000000503142,-0.0000000000388917,-0.0000000000269749,-0.0000000000367453,-0.0000000000358867,-0.0000000000208185,-0.0000000000676861,-0.0000000000427498
-0.0007999819949586,-0.0000000000174008,-0.0000000000232168,-0.0000000000040483,-0.0000000000004356,-0.0000000000506159,-0.0000000000371888,-0.0000000000257584,-0.0000000000359776,-0.0000000000351072,-0.0000000000223144,-0.0000000000668959,-0.0000000000410176
-0.0006999729924379,-0.0000000000166472,-0.0000000000222432,-0.0000000000035030,-0.0000000000004584,-0.0000000000499472,-0.0000000000384816,-0.0000000000251632,-0.0000000000359856,-0.0000000000355888,-0.0000000000219184,-0.0000000000677279,-0.0000000000425168
-0.0005999639899172,-0.0000000000170400,-0.0000000000226344,-0.0000000000036494,-0.0000000000014146,-0.0000000000521791,-0.0000000000382720,-0.0000000000258560,-0.0000000000368512,-0.0000000000364816,-0.0000000000207872,-0.0000000000680095,-0.0000000000422320
-0.0004999549873965,-0.0000000000179304,-0.0000000000226752,-0.0000000000048757,-0.0000000000001288,-0.0000000000507311,-0.0000000000381792,-0.0000000000246224,-0.0000000000376208,-0.0000000000357792,-0.0000000000204872,-0.0000000000677151,-0.0000000000424544
-0.0003999459848758,-0.0000000000167856,-0.0000000000224568,-0.0000000000040723,-0.0000000000013470,-0.0000000000501760,-0.0000000000374880,-0.0000000000262208,-0.0000000000366880,-0.0000000000362816,-0.0000000000193744,-0.0000000000667967,-0.0000000000437296
-0.0002999369823551,-0.0000000000174944,-0.0000000000230504,-0.0000000000040728,-0.0000000000014446,-0.0000000000512591,-0.0000000000374944,-0.0000000000254624,-0.0000000000374656,-0.0000000000359936,-0.0000000000207032,-0.0000000000678975,-0.0000000000421856
-0.0001999279798344,0.0000000000000000,0.0000000000000000,-0.0000000000000000,0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,0.0000000000000000,-0.0000000000000000
-0.0000999189773136,-0.0000000028763321,-0.0000000049960351,-0.0000000024798601,0.0000000066741288,0.0000000015594090,-0.0000000250646899,0.0000000266322697,0.0000000073379121,0.0000000042909720,-0.0000000019008060,0.0000000002974681,0.0000000206914894
0.0000000900252071,-0.0000000015620290,-0.0000000129786102,-0.0000000051641522,0.0000000177942496,-0.0000000012327620,-0.0000000556957005,0.0000000601487287,0.0000000151493804,0.0000000093627230,-0.0000000044472110,0.0000000024988080,0.0000000421963584
0.0001000990277278,0.0000001795624058,0.0000000229786608,-0.0000000017665920,0.0000000823181168,-0.0000000092777297,-0.0000000617850802,0.0000000430806502,-0.0000000283978103,-0.0000001067751967,-0.0000000858514966,-0.0000000991895135,0.0000000377855010
0.0002001080302485,0.0000003454472903,0.0000000730876479,0.0000000187095601,0.0000001185515970,-0.0000000218030198,-0.0000000733377021,0.0000000280631802,-0.0000000582378803,-0.0000001729003003,-0.0000001357677064,-0.0000001711534026,0.0000000466915999
0.0003001170327692,0.0000004519490915,0.0000001184764997,0.0000000447309212,0.0000001437090020,-0.0000000212907398,-0.0000000883692834,0.0000000252287293,-0.0000000750682432,-0.0000001978757069,-0.0000001571828960,-0.0000002117292013,0.0000000473860098
0.0004001260352899,0.0000005260874900,0.0000001518935022,0.0000000547299308,0.0000001340235940,-0.0000000443387904,-0.0000000832401170,0.0000000096512158,-0.0000000809122298,-0.0000002195134954,-0.0000001656515991,-0.0000002387976963,0.0000000217233698
0.0005001350378106,0.0000006003721751,0.0000001969047929,0.0000000716370394,0.0000001271266967,-0.0000000550101511,-0.0000000637141113,-0.0000000343763311,-0.0000001009111017,-0.0000002390920883,-0.0000001804557996,-0.0000002726326898,-0.0000000210116298
