#timeI (float64)[1],integ_ch0 (float64)[1],integ_ch1 (float64)[1],integ_ch2 (float64)[1],integ_ch3 (float64)[1],integ_ch4 (float64)[1],integ_ch5 (float64)[1],integ_ch6 (float64)[1],integ_ch7 (float64)[1],integ_ch8 (float64)[1],integ_ch9 (float64)[1],integ_ch10 (float64)[1],integ_ch11 (float64)[1]
-0.0010000000000000,-0.0000000000211868,-0.0000000000195233,-0.0000000000002083,0.0000000000036791,-0.0000000000378732,-0.0000000000348997,-0.0000000000321949,-0.0000000000388488,-0.0000000000348577,-0.0000000000167856,-0.0000000000518893,-0.0000000000406336
-0.0008999909974793,-0.0000000000211868,-0.0000000000195233,-0.0000000000002083,0.0000000000036791,-0.0000000000378732,-0.0000000000348997,-0.0000000000321949,-0.0000000000388488,-0.0000000000348577,-0.0000000000167856,-0.0000000000518893,-0.0000000000406336
-0.0007999819949586,-0.0000000000220744,-0.0000000000196516,0.0000000000007196,0.0000000000028336,-0.0000000000388768,-0.0000000000351792,-0.0000000000309576,-0.0000000000384528,-0.0000000000359856,-0.0000000000157796,-0.0000000000509279,-0.0000000000397776
-0.0006999729924379,-0.0000000000208452,-0.0000000000191600,-0.0000000000007838,0.0000000000027836,-0.0000000000386104,-0.0000000000345224,-0.0000000000329112,-0.0000000000371840,-0.0000000000338496,-0.0000000000171392,-0.0000000000508743,-0.0000000000407600
-0.0005999639899172,-0.0000000000222972,-0.0000000000196936,-0.0000000000009284,0.0000000000034890,-0.0000000000368920,-0.0000000000343224,-0.0000000000317568,-0.0000000000395952,-0.0000000000348328,-0.0000000000155444,-0.0000000000500592,-0.0000000000400608
-0.0004999549873965,-0.0000000000202688,-0.0000000000192976,-0.0000000000006938,0.0000000000040303,-0.0000000000397360,-0.0000000000339224,-0.0000000000316176,-0.0000000000383064,-0.0000000000349048,-0.0000000000162628,-0.0000000000521479,-0.0000000000396512
-0.0003999459848758,-0.0000000000217808,-0.0000000000201936,-0.0000000000002730,0.0000000000048890,-0.0000000000385640,-0.0000000000332128,-0.0000000000333736,-0.0000000000391432,-0.0000000000351432,-0.0000000000169376,-0.0000000000520479,-0.0000000000403760
-0.0002999369823551,-0.0000000000214776,-0.0000000000193420,-0.0000000000003176,0.0000000000038649,-0.0000000000370000,-0.0000000000336256,-0.0000000000323792,-0.0000000000377280,-0.0000000000362320,-0.0000000000170232,-0.0000000000525063,-0.0000000000400776
-0.0001999279798344,0.0000000000000000,0.0000000000000000,-0.0000000000000000,0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,-0.0000000000000000,0.0000000000000000,-0.0000000000000000
-0.0000999189773136,0.0000000111622898,0.0000000053081668,0.0000000021958699,0.0000000174932300,0.0000000169868493,0.0000000047167710,-0.0000000008460472,-0.0000000062151182,0.0000000009621812,-0.0000000018230500,-0.0000000111497496,0.0000000124029196
0.0000000900252071,0.0000000305251504,0.0000000158427707,0.0000000149370205,0.0000000354871688,0.0000000368232413,0.0000000348084086,-0.0000000280570607,-0.0000000226933494,-0.0000000073935178,-0.0000000051955400,-0.0000000223338006,0.0000000036838661
0.0001000990277278,0.0000002194065019,0.0000000788477266,0.0000000417584296,0.0000000645227232,0.0000000524711403,0.0000001052559000,-0.0000001228864051,-0.0000000877750423,-0.0000001362981976,-0.0000000836986516,-0.0000001393972013,-0.0000000677781031
0.0002001080302485,0.0000003898215084,0.0000001340687987,0.0000000711267205,0.0000000841569232,0.0000000549355512,0.0000001686680946,-0.0000002219204021,-0.0000001514963941,-0.0000002304882969,-0.0000001467073929,-0.0000002263159047,-0.0000000916571992
0.0003001170327692,0.0000005070663178,0.0000001971853010,0.0000001130164975,0.0000000992588127,0.0000000674935734,0.0000002157078001,-0.0000002942620085,-0.0000001904466984,-0.0000002882389936,-0.0000001707304023,-0.0000002707577096,-0.0000001434681991
0.0004001260352899,0.0000005834801868,0.0000002368042971,0.0000001416692044,0.0000001031551022,0.0000000672371669,0.0000002481874901,-0.0000003503022015,-0.0000002250576046,-0.0000003272938898,-0.0000001923519051,-0.0000003002942890,-0.0000001716219060
0.0005001350378106,0.0000006798750860,0.0000002872452001,0.0000001732266952,0.0000001241965037,0.0000000785849821,0.0000002779268868,-0.0000004008797987,-0.0000002645072925,-0.0000003764818928,-0.0000002203174034,-0.0000003518971141,-0.0000001921955999
0.0006001440403313,0.0000007171707921,0.0000003113480034,0.0000001952609949,0.0000001559773040,0.0000001038115016,0.0000002852378032,-0.0000004115738932,-0.0000002810371882,-0.0000004019460960,-0.0000002198335949,-0.0000003707309020,-0.0000001750075000
0.0007001530428520,0.0000007729672120,0.0000003467274894,0.0000002206086975,0.0000001909092049,0.0000001238625060,0.0000002937686077,-0.0000004373202103,-0.0000003144944003,-0.0000004262778077,-0.0000002365139977,-0.0000004029861884,-0.0000001678829022
0.0008001620453727,0.0000007967444731,0.0000003649601013,0.0000002355561008,0.0000002141001971,0.0000001371243030,0.0000002852997056,-0.0000004411990915,-0.0000003285101116,-0.0000004422867903,-0.0000002356858033,-0.0000004122921098,-0.0000001452607989
0.0009001710478934,0.0000008296429996,0.0000003847117966,0.0000002484846107,0.0000002351761026,0.0000001411936950,0.0000002703368125,-0.0000004430015110,-0.0000003483463047,-0.0000004600290140,-0.0000002458671986,-0.0000004282273096,-0.0000001172652020
0.0010001800504141,0.0000008608118947,0.0000004047209075,0.0000002610042884,0.0000002409803130,0.0000001322684966,0.0000002571777884,-0.0000004461911089,-0.0000003570754927,-0.0000004661281992,-0.0000002461407860,-0.0000004309810890,-0.0000001189839978
0.0011001890529348,0.0000008581890256,0.0000004011982071,0.0000002566584101,0.0000002135386978,0.0000000894747529,0.0000002273369972,-0.0000004329068872,-0.0000003515465892,-0.0000004676456058,-0.0000002486868880,-0.0000004174148955,-0.0000001088048975
